Nome,Endereço,Estado,Cidade,País,CEP,Total de Avaliações,Média de Avaliações,Avaliação Google,Avaliação Foursquare,Avaliação Facebook,Avaliação Trip,Posição no Ranking da Cidade,Site,Instagram,Telefone,Tipos de Cozinha,Horário,Faixa de Preço por Pessoa,Preço Médio por Pessoa,Estacionamento,Lugares Ao Ar Livre,Wi-Fi,Reserva,Entrega,Para Viagem,Música,TV,Acessível a cadeiras de rodas,Crianças,Grupos Grandes,Serviço de Garçom
Kei Cozinha Japonesa,"Estação Central (Metrô de Belo Horizonte) R. Bárbara Heliodora, 54",Minas Gerais,Belo Horizonte,Brasil,30180-130,1685,4.3,4.5,Sem Avaliação,4.6,Sem Avaliação,#115 de 18306 restaurantes em Belo Horizonte,Sem Informação,@keicozinhajaponesa,+55 31 3337-4000,"Japonesa, Sushi",Seg: 18:00-23:00; Ter: 18:00-23:00; Qua: 18:00-23:00; Qui: 18:00-23:00; Sex: 18:00-23:00; Sáb: 12:00-23:00; Dom: 12:00-23:00,69.00 À 98.00,83.5,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Takê,"Rua Professor Moraes, 659",Minas Gerais,Belo Horizonte,Brasil,30150-370,4213,3.7,4.3,3.6,4.2,3.5,#116 de 18306 restaurantes em Belo Horizonte,takebh.com.br,@takebh,+55 31 3287-2730,"Japonesa, Chinês, Sushi",Seg: 11:30-14:00 18:00-23:00; Ter: 11:30-14:00 18:00-23:00; Qua: 11:30-14:00 18:00-23:00; Qui: 11:30-14:00 18:00-23:00; Sex: 11:30-14:00 18:00-23:00; Sáb: 12:00-15:30 18:00-23:00; Dom: 12:00-15:30 18:00-23:00,55.00 À 140.00,97.5,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não
Dona Conceição,"Estação Santa Efigênia Av. dos Andradas nº 3000 Bairro Stª Efigênia, Boulevard Shopping",Piso 3,Pça. de Alimentação,Belo Horizonte,Minas Gerais,1343,3.5,4.0,2.5,3.8,3.5,#117 de 18306 restaurantes em Belo Horizonte,Sem Informação,@restaurantedonaconceicao,+55 31 2531-0797,"Brasileira, Sul Americana",Seg: 10:00-22:00; Ter: 10:00-22:00; Qua: 10:00-22:00; Qui: 10:00-22:00; Sex: 10:00-22:00; Sáb: 10:00-22:00; Dom: 10:00-22:00,54.00 À 140.00,97.0,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Não,Não,Não
Restaurante Maria das Tranças,"Rua Estoril 938, São Francisco",Minas Gerais,Belo Horizonte,Brasil,31255-190,8720,4.1,4.4,4.2,4.0,3.5,#118 de 18306 restaurantes em Belo Horizonte,mariadastrancas.com.br,@mariadastrancasrestaurante,+55 31 3441-3708,Brasileira,Seg: 11:00-21:00; Ter: 11:00-21:00; Qua: 11:00-21:00; Qui: 11:00-21:00; Sex: 11:00-21:00; Sáb: 11:00-21:00; Dom: 11:00-18:00,54.00 À 140.00,97.0,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Tip Top,"Estação Central (Metrô de Belo Horizonte) R. Paraíba, 811",Minas Gerais,Belo Horizonte,Brasil,30130-140,2029,3.8,4.3,3.4,4.0,4.0,#119 de 18306 restaurantes em Belo Horizonte,facebook.com,@tiptopdesde1929,+55 31 3275-1880,"Brasileira, Alemã",Seg: Fechado; Ter: 11:00-23:00; Qua: 11:00-23:00; Qui: 11:00-23:00; Sex: 11:00-23:00; Sáb: 11:00-23:00; Dom: 11:00-18:00,54.00 À 140.00,97.0,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Recanto Verde Restaurante,"Estação Horto Florestal R Petrolina 910 Sagrada Família, Belo Horizonte",Brasil,Minas Gerais,31035-009,Sem Informação,3076,4.1,4.4,4.0,Sem Avaliação,4.0,#120 de 18306 restaurantes em Belo Horizonte,recantoverdebh.com.br,@recantoverdebh,+55 31 3481-2951,"Italiana, Brasileira, Pizza",Seg: 11:00-15:00 18:00-23:00; Ter: 11:00-15:00 18:00-23:00; Qua: 11:00-15:00 18:00-23:00; Qui: 11:00-15:00 18:00-23:00; Sex: 11:00-15:00 18:00-00:00; Sáb: 11:00-00:00; Dom: 11:00-23:00,54.00 À 140.00,97.0,Não,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
Rinu's Bar e Restaurante,"Estação José Cândido da Silveira R. Ilacir Pereira Lima, 193",Minas Gerais,Belo Horizonte,Brasil,31140-540,677,4.3,4.4,Sem Avaliação,3.9,4.5,#121 de 18306 restaurantes em Belo Horizonte,facebook.com,@rinusbarerestaurante,+55 31 3087-2090,"Brasileira, Bar de Coquetéis, Opções vegetarianas",Seg: 08:00-15:00 17:00-22:00; Ter: 08:00-15:00 17:00-22:00; Qua: 08:00-15:00 17:00-22:00; Qui: 08:00-15:00 17:00-22:00; Sex: 08:00-15:00 17:00-00:00; Sáb: 08:00-00:00; Dom: 08:00-16:00,54.00 À 140.00,97.0,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
MIZU: Teppans e Sushis,"Estação Central (Metrô de Belo Horizonte) R. Pernambuco, 380",Minas Gerais,Belo Horizonte,Brasil,30140-081,186,5.0,4.9,Sem Avaliação,Sem Avaliação,5.0,#123 de 18306 restaurantes em Belo Horizonte,facebook.com,@mizubh,+55 31 98376-2062,Japonesa,Seg: 11:30-14:30; Ter: 11:30-14:30; Qua: 11:30-14:30 18:30-23:00; Qui: 11:30-14:30 18:30-23:00; Sex: 11:30-14:30 18:30-23:00; Sáb: 18:30-23:00; Dom: Fechado,55.00 À 140.00,97.5,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Restaurante Jardim de Minas,"Rua Noraldino Lima, 581",Minas Gerais,Belo Horizonte,Brasil,Sem Informação,9023,3.9,4.3,3.9,3.9,3.5,#124 de 18306 restaurantes em Belo Horizonte,facebook.com,@restaurantejardimdeminas,+55 31 3443-6299,"Brasileira, Sul Americana, Churrasco, Grelhada, Comida Saudável, Churrascarias",Seg: 11:00-15:00; Ter: 11:00-00:00; Qua: 11:00-00:00; Qui: 11:00-00:00; Sex: 11:00-00:30; Sáb: 11:00-00:30; Dom: 11:00-16:00,55.00 À 140.00,97.5,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Parrilla Del Pátio 158,"Estação Santa Efigênia Av. do Contorno, 6061",Belo Horizonte,Shopping Patio Savassi,Minas Gerais,Brasil,1626,4.2,4.4,Sem Avaliação,Sem Avaliação,4.0,#1 de 631 restaurantes de carne em Belo Horizonte,Sem Informação,@parrillasavassi158,+55 31 99896-4357,"Argentina, Sul Americana, Churrasco, Grelhada, Churrascarias",Seg: 11:30-16:00; Ter: 11:30-00:00; Qua: 11:30-00:00; Qui: 11:30-00:00; Sex: 11:30-00:00; Sáb: 11:30-00:00; Dom: 11:30-17:00,140.00 À 280.00,210.0,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
Villani Casa de Massas,"Estação Calafate Rua Selênio, 269",Minas Gerais,Belo Horizonte,Brasil,30411-228,368,4.0,4.4,3.5,5.0,4.0,#126 de 18306 restaurantes em Belo Horizonte,Sem Informação,@villanirestaurantebh,+55 31 3332-6433,"Italiana, Pizza",Seg: Fechado; Ter: Fechado; Qua: Fechado; Qui: 18:00-22:30; Sex: 18:00-22:30; Sáb: 11:00-22:30; Dom: 11:00-16:00,55.00 À 140.00,97.5,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante Chop Stick San,"Estação Central (Metrô de Belo Horizonte) R dos Inconfidentes 1068 Funcionários, Belo Horizonte",Brasil,Minas Gerais,30140-120,Sem Informação,4584,3.6,4.3,3.7,3.9,3.5,#127 de 18306 restaurantes em Belo Horizonte,chopsticksan.wix.com,@restaurante_chopsticksan,+55 31 3261-2210,"Japonesa, Chinês, Sushi, Asiática",Seg: 11:30-15:00 18:30-23:00; Ter: 11:30-15:00 18:30-23:00; Qua: 11:30-15:00 18:30-23:00; Qui: 11:30-15:00 18:30-23:00; Sex: 11:30-15:00 18:30-23:00; Sáb: 11:00-15:00 18:30-23:00; Dom: 11:30-15:00 18:30-23:00,54.00 À 140.00,97.0,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Restaurante Bolão,"Estação Santa Tereza R Mármore 689, Santa Tereza",Minas Gerais,Belo Horizonte,Brasil,31010-220,3387,3.9,4.2,3.8,3.6,4.0,#130 de 18306 restaurantes em Belo Horizonte,facebook.com,Sem Informação,+55 31 3461-6211,Brasileira,Seg: 11:00-01:00; Ter: 11:00-01:00; Qua: 11:00-01:00; Qui: 11:00-01:00; Sex: 11:00-01:00; Sáb: 11:00-03:30; Dom: 11:00-17:00,54.00 À 140.00,97.0,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Pizzaria Sabores de Nápoles,"R. Alcindo Viêira, 410",Minas Gerais,Belo Horizonte,Brasil,30640-100,2323,4.3,4.6,Sem Avaliação,Sem Avaliação,4.0,#131 de 18306 restaurantes em Belo Horizonte,pizzariasaboresdenapoles.com.br,@direct,+55 31 3267-6038,"Italiana, Pizza",Seg: 18:30-23:30; Ter: 18:30-23:30; Qua: 18:30-23:30; Qui: 18:30-23:30; Sex: 18:30-23:30; Sáb: 18:30-23:30; Dom: 18:30-23:30,54.00 À 140.00,97.0,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Mayu,"Rua Rubim, 107 Sion",Minas Gerais,Nova Lima,Brasil,34000-000,1092,4.2,4.5,4.2,4.0,4.0,#18 de 787 restaurantes em Nova Lima,mayu.com.br,@restaurante_mayu,+55 31 3225-6644,"Japonesa, Sushi",Seg: 18:00-00:00; Ter: 18:00-00:30; Qua: 18:00-00:30; Qui: 18:00-00:30; Sex: 18:00-00:30; Sáb: 12:00-00:30; Dom: 12:00-22:30,55.00 À 140.00,97.5,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Bar e Restaurante Trem Mineiro,"Av. Pres. Tancredo Neves, 3749",Minas Gerais,Belo Horizonte,Brasil,31330-430,2156,3.6,4.0,3.5,3.9,3.0,#133 de 18306 restaurantes em Belo Horizonte,wa.me,@tremmineirocastelo,+55 31 3327-0370,"Brasileira, Grelhada",Seg: 11:00-15:00; Ter: 11:00-15:00; Qua: 11:00-15:00; Qui: 11:00-15:00 18:00-00:00; Sex: 11:00-15:00 18:00-00:00; Sáb: 11:00-00:00; Dom: 11:00-16:00,54.00 À 140.00,97.0,Não,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
La Macelleria Anchieta,"Rua Francisco Deslandes, n°1038 Lojas 02 e 03",Minas Gerais,Belo Horizonte,Brasil,30310-530,1985,4.4,4.5,4.2,Sem Avaliação,4.5,#134 de 18306 restaurantes em Belo Horizonte,lamacelleria.com.br,@lamacelleria,+55 31 3223-6255,"Brasileira, Churrasco, Argentina, Churrascarias",Seg: 08:00-19:00; Ter: 08:00-19:00; Qua: 08:00-19:00; Qui: 08:00-23:00; Sex: 08:00-23:00; Sáb: 08:00-23:00; Dom: 09:00-17:00,55.00 À 140.00,97.5,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Bar do Clóvis,"Estação Central (Metrô de Belo Horizonte) R. Alagoas, 612",Minas Gerais,Belo Horizonte,Brasil,30130-160,1194,4.2,4.6,3.4,4.1,4.5,#135 de 18306 restaurantes em Belo Horizonte,facebook.com,@bardoclovisbh,+55 31 3261-6307,"Brasileira, Sul Americana",Seg: 06:00-23:00; Ter: 06:00-23:00; Qua: 06:00-23:00; Qui: 06:00-23:00; Sex: 06:00-23:00; Sáb: 06:00-23:00; Dom: 06:00-23:00,55.00 À 140.00,97.5,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Divino Restaurante,"Avenida Portugal 2051 Santa Amélia, Belo Horizonte",Brasil,Minas Gerais,31555-000,Sem Informação,1804,4.5,4.7,4.2,4.4,4.5,#19 de 3071 cafeterias em Belo Horizonte,divinorestaurante.wordpress.com,@divinorestaurantebh,+55 31 3447-9803,"Brasileira, Sul Americana, Churrasco, Opções vegetarianas",Seg: 11:15-14:30; Ter: 11:15-14:30; Qua: 11:15-14:30; Qui: 11:15-14:30; Sex: 11:15-14:30; Sáb: 11:15-15:30; Dom: 11:30-15:30,54.00 À 140.00,97.0,Não,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
Restaurante Mineirim,"Estação Calafate R. Turfa, 550",Minas Gerais,Belo Horizonte,Brasil,30411-200,2930,3.7,4.3,3.4,4.1,3.5,#137 de 18306 restaurantes em Belo Horizonte,Sem Informação,@restaurantemineirim,+55 31 3643-5223,"Brasileira, Opções vegetarianas",Seg: 11:00-15:00 18:00-00:00; Ter: 11:00-15:00 18:00-00:00; Qua: 11:00-15:00 18:00-00:00; Qui: 11:00-15:00 18:00-00:00; Sex: 11:00-15:00 18:00-00:00; Sáb: 11:00-00:00; Dom: 11:00-16:00,54.00 À 140.00,97.0,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Seu Bias,"Av. Bias Fortes, 161",Minas Gerais,Belo Horizonte,Brasil,30170-010,313,4.4,4.3,Sem Avaliação,Sem Avaliação,4.5,#138 de 18306 restaurantes em Belo Horizonte,Sem Informação,@seubias_,+55 31 97220-4999,Bar de Coquetéis,Seg: Fechado; Ter: Fechado; Qua: 18:00-01:00; Qui: 18:00-01:00; Sex: 18:00-01:00; Sáb: 08:00-11:00 12:00-01:00; Dom: Fechado,54.00 À 140.00,97.0,Não,Sim,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Não
La Macelleria Lourdes Açougue Gourmet e Restaurante (Carnes Nobres),"Rua Fernandes Tourinho, 801",Minas Gerais,Belo Horizonte,Brasil,30112-003,4577,4.3,4.6,4.5,Sem Avaliação,5.0,#139 de 18306 restaurantes em Belo Horizonte,lamacelleria.com.br,@lamacelleria,+55 31 3566-7291,Churrascarias,Seg: 08:30-22:30; Ter: 08:30-22:30; Qua: 08:30-22:30; Qui: 08:30-22:30; Sex: 08:30-22:30; Sáb: 08:30-22:30; Dom: 09:00-17:00,140.00 À 280.00,210.0,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Taika Izakaya,"Rua Juvenal de Melo Senra, 383",Minas Gerais,Belo Horizonte,Brasil,30320-660,747,4.4,4.5,4.2,4.4,4.0,#141 de 18306 restaurantes em Belo Horizonte,Sem Informação,@taikaizakaya,+55 31 2127-1818,"Japonesa, Sushi, Asiática, Opções vegetarianas",Seg: Fechado; Ter: 18:00-23:00; Qua: 18:00-23:00; Qui: 18:00-23:00; Sex: 18:00-23:59; Sáb: 18:00-23:59; Dom: 18:00-23:00,270.00,270.0,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Deles Restaurante,"Estação Minas Shopping Rua Jacuí, 3489 Ipiranga Providência",Minas Gerais,Belo Horizonte,Brasil,31140-650,3365,4.0,4.2,3.4,4.9,3.5,#142 de 18306 restaurantes em Belo Horizonte,facebook.com,@restaurantedeles,+55 31 3426-4109,"Brasileira, Sul Americana",Seg: 11:00-00:00; Ter: 11:00-00:00; Qua: 11:00-00:00; Qui: 11:00-00:00; Sex: 11:00-00:00; Sáb: 11:00-00:00; Dom: 11:00-17:00,55.00 À 140.00,97.5,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não
Nonô - O Rei do Caldo de Mocotó,"Estação Lagoinha Avenida Amazonas N° 840 Centro, Belo Horizonte",Brasil,Minas Gerais,30180-000,Sem Informação,6172,4.3,4.6,4.5,4.1,4.0,#144 de 18306 restaurantes em Belo Horizonte,nonooreidomocoto.com.br,@nonooreidomocoto,+55 31 3212-7458,"Brasileira, Sopas",Seg: Aberto 24 horas; Ter: Aberto 24 horas; Qua: Aberto 24 horas; Qui: Aberto 24 horas; Sex: Aberto 24 horas; Sáb: Aberto 24 horas; Dom: Aberto 24 horas,55.00 À 140.00,97.5,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não
Restaurante SantaFé,"Estação Central (Metrô de Belo Horizonte) Estr. p/ Nova Lima, 403",Minas Gerais,Belo Horizonte,Brasil,30320-900,917,4.5,4.8,3.9,4.3,5.0,#147 de 18306 restaurantes em Belo Horizonte,restaurantesantafe.com.br,@santafebh,+55 31 3324-0052,"Saladas, Mediterrânea",Seg: 18:00-23:00; Ter: 18:00-23:00; Qua: 18:00-23:00; Qui: 18:00-23:00; Sex: 18:00-23:00; Sáb: 18:00-23:00; Dom: 18:00-23:00,140.00 À 270.00,205.0,Não,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
André Caldos,"Av. Raul Mourão Guimarães, 370",Minas Gerais,Belo Horizonte,Brasil,30575-400,93,3.7,Sem Avaliação,4.2,Sem Avaliação,4.0,#149 de 18306 restaurantes em Belo Horizonte,andrecaldos.blogspot.com.br,Sem Informação,+55 3194911690,Brasileira,Seg: 18:00-00:00; Ter: 17:00-00:00; Qua: 17:00-00:00; Qui: 17:00-00:00; Sex: 17:00-00:00; Sáb: 17:00-00:00; Dom: Fechado,55.00 À 140.00,97.5,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não
Restaurante Boi na Chapa,"Estação Central (Metrô de Belo Horizonte) R. Curitiba, 1825",Minas Gerais,Belo Horizonte,Brasil,30170-122,628,3.9,4.5,3.8,3.9,4.0,#150 de 18306 restaurantes em Belo Horizonte,Sem Informação,@boi.nachapa,+55 31 3291-0254,Churrascarias,Seg: Fechado; Ter: 11:00-14:30 18:00-23:00; Qua: 11:00-14:30 18:00-23:00; Qui: 11:00-14:30 18:00-23:00; Sex: 11:00-15:00 18:00-23:30; Sáb: 11:00-23:00; Dom: 11:00-18:00,55.00 À 140.00,97.5,Não,Sim,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Margherita bar e restaurante,"Estação Central (Metrô de Belo Horizonte) R. Da Bahia, 1172 Centro",Minas Gerais,Belo Horizonte,Brasil,30160-011,287,3.8,4.3,3.0,Sem Avaliação,4.0,#151 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 3273-2115,"Brasileira, Sul Americana",Seg: 07:00-02:00; Ter: 07:00-02:00; Qua: 07:00-02:00; Qui: 07:00-02:00; Sex: 07:00-02:00; Sáb: 07:00-02:00; Dom: 07:00-23:00,55.00 À 140.00,97.5,Não,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não
Nashy Sushi Prime Savassi,"Av. Getúlio Vargas, 900",Minas Gerais,Belo Horizonte,Brasil,30112-021,1711,4.9,4.9,Sem Avaliação,Sem Avaliação,Sem Avaliação,#153 de 18306 restaurantes em Belo Horizonte,nashysushi.com,@nashysushi_,+55 31 3243-3835,Japonesa,Seg: 11:30-15:00 18:00-23:00; Ter: 11:30-15:00 18:00-23:00; Qua: 11:30-15:00 18:00-23:00; Qui: 11:30-15:00 18:00-23:00; Sex: 11:30-15:00 18:00-23:00; Sáb: 12:00-23:00; Dom: 12:00-22:00,55.00 À 140.00,97.5,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não
"Jeito Verdim Restaurante, cardápio","Av. Santa Terezinha, 1000",Minas Gerais,Belo Horizonte,Brasil,31360-000,4936,3.9,4.2,3.5,3.9,3.5,#154 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 3477-7771,"Brasileira, Pizza, Churrasco",Seg: 11:00-15:30; Ter: 11:30-15:00 17:00-00:00; Qua: 11:30-15:00 17:00-00:00; Qui: 11:30-15:00 17:00-00:00; Sex: 11:30-15:00 17:00-01:00; Sáb: 11:30-01:00; Dom: 11:00-00:00,54.00 À 140.00,97.0,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não
Osteria Via Emília,"R. Pitangueiras, 510",Minas Gerais,Belo Horizonte,Brasil,30350-200,164,4.5,4.6,Sem Avaliação,Sem Avaliação,4.5,#156 de 18306 restaurantes em Belo Horizonte,Sem Informação,Sem Informação,+55 31 3110-8028,"Italiana, Opções vegetarianas",Seg: Fechado; Ter: 11:30-15:00 18:00-22:30; Qua: 11:30-15:00 18:00-22:30; Qui: 11:30-15:00 18:00-22:30; Sex: 11:30-15:00 18:00-23:30; Sáb: 11:30-23:30; Dom: 11:30-17:00,55.00 À 140.00,97.5,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não
